condition,round,mean,ci_lo,ci_hi,n,n_clusters
full_history,1,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
full_history,2,0.5833333333333334,0.3333333333333333,0.8333333333333334,12,12
full_history,3,0.4166666666666667,0.16666666666666666,0.6666666666666666,12,12
full_history,4,0.16666666666666666,0.0,0.4166666666666667,12,12
full_history,5,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
full_history,6,0.25,0.0,0.5,12,12
full_history,7,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
full_history,8,0.25,0.0,0.5,12,12
no_history,1,0.5,0.25,0.75,12,12
no_history,2,0.16666666666666666,0.0,0.4166666666666667,12,12
no_history,3,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
no_history,4,0.5833333333333334,0.3333333333333333,0.8333333333333334,12,12
no_history,5,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
no_history,6,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
no_history,7,0.16666666666666666,0.0,0.4166666666666667,12,12
no_history,8,0.3333333333333333,0.08333333333333333,0.5833333333333334,12,12
